id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes,dataset_id,dataset_name,category_id,category_name,subcategory_id,subcategory_name
mdl209_investment,No field description,"{'id': 'model209', 'name': 'Model209'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-mlai-models', 'name': 'ML/AI Models'}",EUR,1,TOPCS1600,VECTOR,0.6114,0.132,0,0,1.4,[],model209,Model209,model,Model,model-mlai-models,ML/AI Models
mdl209_lastcostingfailed,No field description,"{'id': 'model209', 'name': 'Model209'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-mlai-models', 'name': 'ML/AI Models'}",EUR,1,TOPCS1600,VECTOR,0.6114,0.132,0,0,1.4,[],model209,Model209,model,Model,model-mlai-models,ML/AI Models
mdl209_loadedidstimestamp,No field description,"{'id': 'model209', 'name': 'Model209'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-mlai-models', 'name': 'ML/AI Models'}",EUR,1,TOPCS1600,VECTOR,0.6114,0.132,0,0,1.4,[],model209,Model209,model,Model,model-mlai-models,ML/AI Models
mdl209_opentimestamp,No field description,"{'id': 'model209', 'name': 'Model209'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-mlai-models', 'name': 'ML/AI Models'}",EUR,1,TOPCS1600,VECTOR,0.6114,0.132,0,0,1.4,[],model209,Model209,model,Model,model-mlai-models,ML/AI Models
