id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes,dataset_id,dataset_name,category_id,category_name,subcategory_id,subcategory_name
mdl172_cfroi_3,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8295,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_cfroi_4,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8021,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_cfroi_5,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.7717,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_cfroichg,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8647,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_cfroidrs,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8638,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_cfroify5,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8636,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_cfroimk5,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8617,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_cfroimo,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8069,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_cfroimo1,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8048,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_cfroimo2,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8032,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_cfroitrn,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8063,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_cfroival,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8637,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_cfsurq0,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.316,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_coverage,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8531,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_dayliq,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8653,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_debteqiv,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8319,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_dev,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8281,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_devtracking,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.855,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_discrate,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8655,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_divyield,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.7182,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_econaccumdep,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8398,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_entwdrat,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.7567,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_epsanys1,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8643,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_epsanys2,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8635,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_epsgrow5,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.6184,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_epssurpq,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.3144,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_fade,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8637,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_fcg_in,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8655,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_ffid_rd,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8654,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_grccfin1,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8653,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_grossinvinf,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8655,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_grow_fy5,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8528,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_growasst,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8604,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_growsprd,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8602,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_growval,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8649,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_grscfinfa,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8655,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_grsinvst,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8655,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_grwsucaret2,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8625,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_grwsuminus1,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8601,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
