id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes,dataset_id,dataset_name,category_id,category_name,subcategory_id,subcategory_name
analyst_revision_rank_derivative,Change in ranking for analyst revisions and momentum compared to previous period.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,4,4,1.4,[],model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models
cashflow_efficiency_rank_derivative,Change in ranking for cash flow generation and profitability compared to previous period.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,2,2,1.4,[],model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models
composite_factor_score_derivative,Change in overall composite factor score from the prior period.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.4,[],model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models
earnings_certainty_rank_derivative,Change in ranking for earnings sustainability and certainty compared to previous period.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.4,[],model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models
fscore_bfl_growth,The purpose of this metric is to qualify the expected MT growth potential of the stock.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.4563,0,0,1.4,[],model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models
fscore_bfl_momentum,The purpose of this metric is to identify stocks which are currently undergoing either up or downward analyst revisions.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.4561,0,0,1.4,[],model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models
fscore_bfl_profitability,The purpose of this metric is to rank stock based on their ability to generate cash flows.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.4554,0,0,1.4,[],model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models
fscore_bfl_quality,The purpose of this metric is to measure both the sustainability and certainty of earnings.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.4571,2,2,1.4,[],model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models
fscore_bfl_surface,"The static score. An index between 0 & 100 is applied for each stock and each composite factor - The first ranking is a pentagon surface-based score. The larger the surface, the higher the rank.","{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.4536,0,0,1.4,[],model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models
fscore_bfl_surface_accel,"The derivative score. In a second step, we calculate the derivative of this score (ie: Is the surface of the pentagon increasing or decreasing from the previous month?).","{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.4499,1,1,1.4,[],model16,Fundamental Scores,model,Model,model-valuation-models,Valuation Models
